date,fiscal_year,quarter
01-Apr-21,2022,Q1
01-May-21,2022,Q1
01-Jun-21,2022,Q1
01-Jul-21,2022,Q2
01-Aug-21,2022,Q2
01-Sep-21,2022,Q2
01-Oct-21,2022,Q3
01-Nov-21,2022,Q3
01-Dec-21,2022,Q3
01-Jan-22,2022,Q4
01-Feb-22,2022,Q4
01-Mar-22,2022,Q4
01-Apr-22,2023,Q1
01-May-22,2023,Q1
01-Jun-22,2023,Q1
01-Jul-22,2023,Q2
01-Aug-22,2023,Q2
01-Sep-22,2023,Q2
01-Oct-22,2023,Q3
01-Nov-22,2023,Q3
01-Dec-22,2023,Q3
01-Jan-23,2023,Q4
01-Feb-23,2023,Q4
01-Mar-23,2023,Q4
01-Apr-23,2024,Q1
01-May-23,2024,Q1
01-Jun-23,2024,Q1
01-Jul-23,2024,Q2
01-Aug-23,2024,Q2
01-Sep-23,2024,Q2
01-Oct-23,2024,Q3
01-Nov-23,2024,Q3
01-Dec-23,2024,Q3
01-Jan-24,2024,Q4
01-Feb-24,2024,Q4
01-Mar-24,2024,Q4
